,VIN_110,County,City,State,Postal_Code,Model_Year,Make,Model,Electric_Vehicle_Type,Clean_Alternative_Fuel_Vehicle_CAFV_Eligibility,Electric_Range,Base_MSRP,Legislative_District,DOL_Vehicle_ID,Electric_Utility,2020_Census_Tract,Latitude,Longitude
0,5YJ3E1EB6K,KING,SEATTLE,WA,98178,2019,TESLA,MODEL 3,BATTERY ELECTRIC VEHICLE (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,37,101250425,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033011902.00,47.49461,-122.23825
1,5YJYGAEE5M,YAKIMA,SELAH,WA,98942,2021,TESLA,MODEL Y,BATTERY ELECTRIC VEHICLE (BEV),Eligibility unknown as battery range has not been researched,0,0,15,224162858,PACIFICORP,53077003100.00,46.65405,-120.53145
2,5YJSA1E65N,YAKIMA,GRANGER,WA,98932,2022,TESLA,MODEL S,BATTERY ELECTRIC VEHICLE (BEV),Eligibility unknown as battery range has not been researched,0,0,15,187279214,PACIFICORP,53077002104.00,46.33949,-120.18710
3,5YJ3E1EBXN,KING,BELLEVUE,WA,98004,2022,TESLA,MODEL 3,BATTERY ELECTRIC VEHICLE (BEV),Eligibility unknown as battery range has not been researched,0,0,41,219428079,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023902.00,47.61001,-122.18720
4,JM3KKEHA8S,THURSTON,YELM,WA,98597,2025,MAZDA,CX-90,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),Not eligible due to low battery range,26,0,2,277791643,PUGET SOUND ENERGY INC,53067012412.00,46.94239,-122.60735
5,5YJSA1E45H,THURSTON,OLYMPIA,WA,98512,2017,TESLA,MODEL S,BATTERY ELECTRIC VEHICLE (BEV),Clean Alternative Fuel Vehicle Eligible,210,0,35,152371775,PUGET SOUND ENERGY INC,53067011821.00,47.01359,-122.91310
6,5YJ3E1EB6J,KING,BURIEN,WA,98166,2018,TESLA,MODEL 3,BATTERY ELECTRIC VEHICLE (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,34,278247826,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033027500.00,47.46593,-122.34134
7,1N4BZ1CP3K,SNOHOMISH,SNOHOMISH,WA,98290,2019,NISSAN,LEAF,BATTERY ELECTRIC VEHICLE (BEV),Clean Alternative Fuel Vehicle Eligible,150,0,39,113148129,PUGET SOUND ENERGY INC,53061052203.00,47.91265,-122.09305
8,KM8K23AGXL,KING,SEATTLE,WA,98125,2020,HYUNDAI,KONA,BATTERY ELECTRIC VEHICLE (BEV),Clean Alternative Fuel Vehicle Eligible,258,0,46,145686754,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000101.00,47.72656,-122.30253
9,1N4AZ0CP2F,KING,BELLEVUE,WA,98006,2015,NISSAN,LEAF,BATTERY ELECTRIC VEHICLE (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,41,268997830,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024800.00,47.55584,-122.12096
10,1N4AZ0CP6F,KING,KIRKLAND,WA,98033,2015,NISSAN,LEAF,BATTERY ELECTRIC VEHICLE (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,48,128319159,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022501.00,47.67887,-122.20660
11,5YJYGDEE2M,KING,BOTHELL,WA,98011,2021,TESLA,MODEL Y,BATTERY ELECTRIC VEHICLE (BEV),Eligibility unknown as battery range has not been researched,0,0,1,144130570,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033021804.00,47.76144,-122.20563
12,7JRBR0FL8K,KING,SEATTLE,WA,98125,2019,VOLVO,S60,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),Not eligible due to low battery range,22,0,46,208712598,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033001202.00,47.72656,-122.30253
13,1G1RD6E45E,YAKIMA,YAKIMA,WA,98908,2014,CHEVROLET,VOLT,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),Clean Alternative Fuel Vehicle Eligible,38,0,14,142474272,PACIFICORP,53077000903.00,46.59817,-120.60199
14,JTDKAMFP1M,KITSAP,BREMERTON,WA,98337,2021,TOYOTA,PRIUS PRIME,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),Not eligible due to low battery range,25,0,26,156465963,PUGET SOUND ENERGY INC,53035080600.00,47.56500,-122.62749
15,7SAYGDEE7N,YAKIMA,YAKIMA,WA,98908,2022,TESLA,MODEL Y,BATTERY ELECTRIC VEHICLE (BEV),Eligibility unknown as battery range has not been researched,0,0,14,216648813,PACIFICORP,53077002801.00,46.59817,-120.60199
16,1N4AZ1CP7K,KING,RENTON,WA,98055,2019,NISSAN,LEAF,BATTERY ELECTRIC VEHICLE (BEV),Clean Alternative Fuel Vehicle Eligible,150,0,11,226088971,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033025805.00,47.43876,-122.19700
17,7SAXCBE61P,KITSAP,SILVERDALE,WA,98383,2023,TESLA,MODEL X,BATTERY ELECTRIC VEHICLE (BEV),Eligibility unknown as battery range has not been researched,0,0,23,262321321,PUGET SOUND ENERGY INC,53035091205.00,47.65171,-122.69275
18,5YJ3E1EB7J,KING,KENT,WA,98030,2018,TESLA,MODEL 3,BATTERY ELECTRIC VEHICLE (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,47,207456623,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033029505.00,47.37483,-122.19975
19,1N4AZ0CP3D,KING,REDMOND,WA,98052,2013,NISSAN,LEAF,BATTERY ELECTRIC VEHICLE (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,45,176767076,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032323.00,47.67858,-122.13158
20,JTJHKCFZ8P,KING,REDMOND,WA,98052,2023,LEXUS,NX,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),Clean Alternative Fuel Vehicle Eligible,37,0,45,236403296,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032321.00,47.67858,-122.13158
21,1FT6W5L73R,KITSAP,POULSBO,WA,98370,2024,FORD,F-150,BATTERY ELECTRIC VEHICLE (BEV),Eligibility unknown as battery range has not been researched,0,0,23,271508961,PUGET SOUND ENERGY INC,53035091100.00,47.73689,-122.64681
22,5YJ3E1EB6L,SNOHOMISH,LYNNWOOD,WA,98087,2020,TESLA,MODEL 3,BATTERY ELECTRIC VEHICLE (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,21,3354571,PUGET SOUND ENERGY INC,53061041812.00,47.85727,-122.27981
23,5YJ3E1EA3K,THURSTON,OLYMPIA,WA,98512,2019,TESLA,MODEL 3,BATTERY ELECTRIC VEHICLE (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,35,476802679,PUGET SOUND ENERGY INC,53067011810.00,47.01359,-122.91310
24,5YJ3E1EA1K,KING,KIRKLAND,WA,98034,2019,TESLA,MODEL 3,BATTERY ELECTRIC VEHICLE (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,1,100899858,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022203.00,47.72201,-122.22901
25,5YJ3E1EB5K,KITSAP,POULSBO,WA,98370,2019,TESLA,MODEL 3,BATTERY ELECTRIC VEHICLE (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,23,144826083,PUGET SOUND ENERGY INC,53035091100.00,47.73689,-122.64681
26,YV4ED3GB2N,THURSTON,OLYMPIA,WA,98512,2022,VOLVO,C40,BATTERY ELECTRIC VEHICLE (BEV),Eligibility unknown as battery range has not been researched,0,0,22,196428809,PUGET SOUND ENERGY INC,53067011000.00,47.01359,-122.91310
27,JN1BF0BA7P,THURSTON,OLYMPIA,WA,98501,2023,NISSAN,ARIYA,BATTERY ELECTRIC VEHICLE (BEV),Eligibility unknown as battery range has not been researched,0,0,22,238436845,PUGET SOUND ENERGY INC,53067010700.00,47.03954,-122.89165
28,YV4BR0CK4M,KING,SEATTLE,WA,98101,2021,VOLVO,XC90,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),Not eligible due to low battery range,18,0,36,170316877,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033007202.00,47.61085,-122.34223
29,5UXTA6C07M,SNOHOMISH,MILL CREEK,WA,98012,2021,BMW,X5,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),Clean Alternative Fuel Vehicle Eligible,30,0,44,151016288,PUGET SOUND ENERGY INC,53061052008.00,47.83448,-122.21061
30,JN1AZ0CP0B,KITSAP,BAINBRIDGE ISLAND,WA,98110,2011,NISSAN,LEAF,BATTERY ELECTRIC VEHICLE (BEV),Clean Alternative Fuel Vehicle Eligible,73,0,23,126817778,PUGET SOUND ENERGY INC,53035090700.00,47.62728,-122.52100
31,5YJ3E1EA7M,THURSTON,YELM,WA,98597,2021,TESLA,MODEL 3,BATTERY ELECTRIC VEHICLE (BEV),Eligibility unknown as battery range has not been researched,0,0,2,271060730,PUGET SOUND ENERGY INC,53067012412.00,46.94239,-122.60735
32,1N4AZ1CP5J,KING,KIRKLAND,WA,98033,2018,NISSAN,LEAF,BATTERY ELECTRIC VEHICLE (BEV),Clean Alternative Fuel Vehicle Eligible,151,0,48,248988274,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022501.00,47.67887,-122.20660
33,1G1RB6S57H,KING,BURIEN,WA,98146,2017,CHEVROLET,VOLT,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),Clean Alternative Fuel Vehicle Eligible,53,0,34,103340226,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033026700.00,47.49408,-122.36178
34,5YJSA1E2XH,KING,SEATTLE,WA,98107,2017,TESLA,MODEL S,BATTERY ELECTRIC VEHICLE (BEV),Clean Alternative Fuel Vehicle Eligible,210,0,43,329236610,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033004800.00,47.67597,-122.38591
35,5YJ3E1EA3J,KITSAP,BAINBRIDGE ISLAND,WA,98110,2018,TESLA,MODEL 3,BATTERY ELECTRIC VEHICLE (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,23,295732972,PUGET SOUND ENERGY INC,53035090800.00,47.62728,-122.52100
36,5YJXCAE29L,KITSAP,SILVERDALE,WA,98383,2020,TESLA,MODEL X,BATTERY ELECTRIC VEHICLE (BEV),Clean Alternative Fuel Vehicle Eligible,293,0,23,1843054,PUGET SOUND ENERGY INC,53035091206.00,47.65171,-122.69275
37,5YJSA1CN2C,THURSTON,YELM,WA,98597,2012,TESLA,MODEL S,BATTERY ELECTRIC VEHICLE (BEV),Clean Alternative Fuel Vehicle Eligible,265,59900,2,183278280,PUGET SOUND ENERGY INC,53067012412.00,46.94239,-122.60735
38,5YJ3E1EB3L,KING,SAMMAMISH,WA,98075,2020,TESLA,MODEL 3,BATTERY ELECTRIC VEHICLE (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,41,8152749,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032224.00,47.61344,-122.03539
39,5YJ3E1EB7K,YAKIMA,SELAH,WA,98942,2019,TESLA,MODEL 3,BATTERY ELECTRIC VEHICLE (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,15,215009826,PACIFICORP,53077003200.00,46.65405,-120.53145
40,WBY1Z4C55E,THURSTON,YELM,WA,98597,2014,BMW,I3,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),Clean Alternative Fuel Vehicle Eligible,72,0,2,312944376,PUGET SOUND ENERGY INC,53067012421.00,46.94239,-122.60735
41,5YJ3E1EB3J,KING,AUBURN,WA,98002,2018,TESLA,MODEL 3,BATTERY ELECTRIC VEHICLE (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,31,232662251,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033030600.00,47.30661,-122.22170
42,1N4AZ0CP4D,KITSAP,KINGSTON,WA,98346,2013,NISSAN,LEAF,BATTERY ELECTRIC VEHICLE (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,23,176159819,PUGET SOUND ENERGY INC,53035090102.00,47.79802,-122.49770
43,5LMYJ8XY9M,THURSTON,YELM,WA,98597,2021,LINCOLN,AVIATOR,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),Not eligible due to low battery range,21,0,2,161233173,PUGET SOUND ENERGY INC,53067012532.00,46.94239,-122.60735
44,5YJYGDEE3L,KING,SEATTLE,WA,98109,2020,TESLA,MODEL Y,BATTERY ELECTRIC VEHICLE (BEV),Clean Alternative Fuel Vehicle Eligible,291,0,36,107503133,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033007002.00,47.63824,-122.35022
45,JTMFB3FV4P,KING,SEATTLE,WA,98199,2023,TOYOTA,RAV4 PRIME,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),Clean Alternative Fuel Vehicle Eligible,42,0,36,235081794,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033005700.00,47.65908,-122.40092
46,5YJ3E1EA5S,KING,SAMMAMISH,WA,98029,2025,TESLA,MODEL 3,BATTERY ELECTRIC VEHICLE (BEV),Eligibility unknown as battery range has not been researched,0,0,5,277000965,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032223.00,47.54748,-122.00292
47,KNDPYDDH2R,KITSAP,POULSBO,WA,98370,2024,KIA,SPORTAGE,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),Clean Alternative Fuel Vehicle Eligible,34,0,23,264705717,PUGET SOUND ENERGY INC,53035090202.00,47.73689,-122.64681
48,1G1FX6S00H,KING,SEATTLE,WA,98109,2017,CHEVROLET,BOLT EV,BATTERY ELECTRIC VEHICLE (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,36,293742053,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006000.00,47.63824,-122.35022
49,5UXTA6C06N,KING,SAMMAMISH,WA,98074,2022,BMW,X5,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),Clean Alternative Fuel Vehicle Eligible,30,0,45,193646771,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032225.00,47.60326,-122.02054
50,WA1E2AFY0R,KITSAP,BAINBRIDGE ISLAND,WA,98110,2024,AUDI,Q5 E,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),Not eligible due to low battery range,23,0,23,273916926,PUGET SOUND ENERGY INC,53035091001.00,47.62728,-122.52100
51,1N4AZ0CP7F,THURSTON,TENINO,WA,98589,2015,NISSAN,LEAF,BATTERY ELECTRIC VEHICLE (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,20,171077357,PUGET SOUND ENERGY INC,53067012620.00,46.85752,-122.85135
53,3C3CFFGE4G,KING,SEATTLE,WA,98177,2016,FIAT,500,BATTERY ELECTRIC VEHICLE (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,32,477093326,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000402.00,47.72238,-122.36498
55,YV4BR0DM9N,KING,BELLEVUE,WA,98005,2022,VOLVO,XC60,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),Not eligible due to low battery range,18,0,48,179356943,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023701.00,47.64441,-122.16210
56,5YJ3E1EB0K,KING,REDMOND,WA,98052,2019,TESLA,MODEL 3,BATTERY ELECTRIC VEHICLE (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,45,258543701,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032324.00,47.67858,-122.13158
57,5YJ3E1EB4J,YAKIMA,YAKIMA,WA,98902,2018,TESLA,MODEL 3,BATTERY ELECTRIC VEHICLE (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,14,241431592,PACIFICORP,53077001202.00,46.59751,-120.52041
58,JTMAB3FV1R,KITSAP,BREMERTON,WA,98310,2024,TOYOTA,RAV4 PRIME,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),Clean Alternative Fuel Vehicle Eligible,42,0,23,267139813,PUGET SOUND ENERGY INC,53035080400.00,47.57520,-122.61136
59,5YJ3E1EA6L,THURSTON,OLYMPIA,WA,98502,2020,TESLA,MODEL 3,BATTERY ELECTRIC VEHICLE (BEV),Clean Alternative Fuel Vehicle Eligible,266,0,22,6217662,PUGET SOUND ENERGY INC,53067010520.00,47.03779,-122.92333
60,1C4RJXR68R,SNOHOMISH,EVERETT,WA,98204,2024,JEEP,WRANGLER,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),Not eligible due to low battery range,21,0,21,276712278,PUGET SOUND ENERGY INC,53061041815.00,47.88936,-122.27557
